date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:19:16	94/94	---MC-	302	error ('Found')	text/html	date:Sat,%2018%20Apr%202020%2018:19:14%20GMT	https://tapmybio.com/links/72648/view	C:/My%20Web%20Sites/dahyn/tapmybio.com/links/72648/view	(from https://tapmybio.com/users/dahyn1x)
13:19:16	93/93	---MC-	302	error ('Found')	text/html	date:Sat,%2018%20Apr%202020%2018:19:14%20GMT	https://tapmybio.com/links/74651/view	C:/My%20Web%20Sites/dahyn/tapmybio.com/links/74651/view	(from https://tapmybio.com/users/dahyn1x)
13:19:16	101/101	---MC-	302	error ('Found')	text/html	date:Sat,%2018%20Apr%202020%2018:19:14%20GMT	https://tapmybio.com/links/72647/view	C:/My%20Web%20Sites/dahyn/tapmybio.com/links/72647/view	(from https://tapmybio.com/users/dahyn1x)
13:19:16	94/94	---MC-	302	error ('Found')	text/html	date:Sat,%2018%20Apr%202020%2018:19:15%20GMT	https://tapmybio.com/links/72650/view	C:/My%20Web%20Sites/dahyn/tapmybio.com/links/72650/view	(from https://tapmybio.com/users/dahyn1x)
13:19:17	103/103	---MC-	302	error ('Found')	text/html	date:Sat,%2018%20Apr%202020%2018:19:15%20GMT	https://tapmybio.com/links/72649/view	C:/My%20Web%20Sites/dahyn/tapmybio.com/links/72649/view	(from https://tapmybio.com/users/dahyn1x)
13:19:17	94/94	---MC-	302	error ('Found')	text/html	date:Sat,%2018%20Apr%202020%2018:19:15%20GMT	https://tapmybio.com/links/74662/view	C:/My%20Web%20Sites/dahyn/tapmybio.com/links/74662/view	(from https://tapmybio.com/users/dahyn1x)
13:19:17	0/-1	---M--	500	error ('')			https://tapmybio.com/login	C:/My%20Web%20Sites/dahyn/tapmybio.com/login	(from https://tapmybio.com/dahyn1x)
13:19:18	182/182	---MC-	500	error ('Internal%20Server%20Error')	text/plain	date:Sat,%2018%20Apr%202020%2018:19:15%20GMT	https://tapmybio.com/	C:/My%20Web%20Sites/dahyn/tapmybio.com/index.html	(from https://tapmybio.com/dahyn1x)
13:19:18	182/182	---MC-	500	error ('Internal%20Server%20Error')	text/plain	date:Sat,%2018%20Apr%202020%2018:19:15%20GMT	https://tapmybio.com/signup	C:/My%20Web%20Sites/dahyn/tapmybio.com/signup	(from https://tapmybio.com/dahyn1x)
13:19:18	182/182	---MC-	500	error ('Internal%20Server%20Error')	text/plain	date:Sat,%2018%20Apr%202020%2018:19:16%20GMT	https://tapmybio.com/users/assets/apple-touch-icon.png	C:/My%20Web%20Sites/dahyn/tapmybio.com/users/assets/apple-touch-icon.png	(from https://tapmybio.com/users/dahyn1x)
13:19:18	0/-1	---M--	500	error ('')			https://tapmybio.com/login	C:/My%20Web%20Sites/dahyn/tapmybio.com/login	(from https://tapmybio.com/dahyn1x)
13:19:18	182/182	---MC-	500	error ('Internal%20Server%20Error')	text/plain	date:Sat,%2018%20Apr%202020%2018:19:16%20GMT	https://tapmybio.com/signup	C:/My%20Web%20Sites/dahyn/tapmybio.com/signup	(from https://tapmybio.com/dahyn1x)
13:19:18	182/182	---MC-	500	error ('Internal%20Server%20Error')	text/plain	date:Sat,%2018%20Apr%202020%2018:19:16%20GMT	https://tapmybio.com/users/assets/apple-touch-icon.png	C:/My%20Web%20Sites/dahyn/tapmybio.com/users/assets/apple-touch-icon.png	(from https://tapmybio.com/users/dahyn1x)
